season,y_bins,goal_dist_bins,total,average_per_hour,y_mid,goal_mid
2016,"(-38, -36]","(50, 52]",16,0.0014378145219266715,-37.0,51.0
2016,"(-38, -36]","(52, 54]",33,0.00296549245147376,-37.0,53.0
2016,"(-38, -36]","(54, 56]",22,0.001976994967649173,-37.0,55.0
2016,"(-38, -36]","(56, 58]",25,0.002246585190510424,-37.0,57.0
2016,"(-38, -36]","(58, 60]",15,0.0013479511143062546,-37.0,59.0
2016,"(-38, -36]","(60, 62]",6,0.0005391804457225018,-37.0,61.0
2016,"(-38, -36]","(62, 64]",4,0.0003594536304816679,-37.0,63.0
2016,"(-38, -36]","(64, 66]",0,0.0,-37.0,65.0
2016,"(-38, -36]","(66, 68]",0,0.0,-37.0,67.0
2016,"(-38, -36]","(68, 70]",0,0.0,-37.0,69.0
2016,"(-38, -36]","(70, 72]",0,0.0,-37.0,71.0
2016,"(-38, -36]","(72, 74]",0,0.0,-37.0,73.0
2016,"(-38, -36]","(74, 76]",0,0.0,-37.0,75.0
2016,"(-38, -36]","(76, 78]",0,0.0,-37.0,77.0
2016,"(-38, -36]","(78, 80]",0,0.0,-37.0,79.0
2016,"(-38, -36]","(80, 82]",0,0.0,-37.0,81.0
2016,"(-38, -36]","(82, 84]",0,0.0,-37.0,83.0
2016,"(-38, -36]","(84, 86]",0,0.0,-37.0,85.0
2016,"(-38, -36]","(86, 88]",0,0.0,-37.0,87.0
2016,"(-38, -36]","(88, 90]",0,0.0,-37.0,89.0
2016,"(-38, -36]","(90, 92]",0,0.0,-37.0,91.0
2016,"(-36, -34]","(0, 2]",6,0.0005391804457225018,-35.0,1.0
2016,"(-36, -34]","(2, 4]",16,0.0014378145219266715,-35.0,3.0
2016,"(-36, -34]","(4, 6]",22,0.001976994967649173,-35.0,5.0
2016,"(-36, -34]","(6, 8]",23,0.00206685837526959,-35.0,7.0
2016,"(-36, -34]","(8, 10]",16,0.0014378145219266715,-35.0,9.0
2016,"(-36, -34]","(10, 12]",19,0.0017074047447879223,-35.0,11.0
2016,"(-36, -34]","(12, 14]",38,0.0034148094895758447,-35.0,13.0
2016,"(-36, -34]","(14, 16]",23,0.00206685837526959,-35.0,15.0
2016,"(-36, -34]","(16, 18]",19,0.0017074047447879223,-35.0,17.0
2016,"(-36, -34]","(18, 20]",34,0.003055355859094177,-35.0,19.0
2016,"(-36, -34]","(20, 22]",39,0.0035046728971962616,-35.0,21.0
2016,"(-36, -34]","(22, 24]",39,0.0035046728971962616,-35.0,23.0
2016,"(-36, -34]","(24, 26]",44,0.003953989935298346,-35.0,25.0
2016,"(-36, -34]","(26, 28]",36,0.003235082674335011,-35.0,27.0
2016,"(-36, -34]","(28, 30]",41,0.0036843997124370955,-35.0,29.0
2016,"(-36, -34]","(30, 32]",45,0.004043853342918764,-35.0,31.0
2016,"(-36, -34]","(32, 34]",55,0.004942487419122933,-35.0,33.0
2016,"(-36, -34]","(34, 36]",49,0.0044033069734004315,-35.0,35.0
2016,"(-36, -34]","(36, 38]",64,0.005751258087706686,-35.0,37.0
2016,"(-36, -34]","(38, 40]",29,0.002606038820992092,-35.0,39.0
2016,"(-36, -34]","(40, 42]",24,0.002156721782890007,-35.0,41.0
2016,"(-36, -34]","(42, 44]",54,0.004852624011502516,-35.0,43.0
2016,"(-36, -34]","(44, 46]",37,0.0033249460819554278,-35.0,45.0
2016,"(-36, -34]","(46, 48]",32,0.002875629043853343,-35.0,47.0
2016,"(-36, -34]","(48, 50]",44,0.003953989935298346,-35.0,49.0
2016,"(-36, -34]","(50, 52]",35,0.003145219266714594,-35.0,51.0
2016,"(-36, -34]","(52, 54]",49,0.0044033069734004315,-35.0,53.0
2016,"(-36, -34]","(54, 56]",50,0.004493170381020848,-35.0,55.0
2016,"(-36, -34]","(56, 58]",50,0.004493170381020848,-35.0,57.0
2016,"(-36, -34]","(58, 60]",22,0.001976994967649173,-35.0,59.0
2016,"(-36, -34]","(60, 62]",5,0.0004493170381020848,-35.0,61.0
2016,"(-36, -34]","(62, 64]",2,0.00017972681524083394,-35.0,63.0
2016,"(-36, -34]","(64, 66]",0,0.0,-35.0,65.0
2016,"(-36, -34]","(66, 68]",0,0.0,-35.0,67.0
2016,"(-36, -34]","(68, 70]",0,0.0,-35.0,69.0
2016,"(-36, -34]","(70, 72]",0,0.0,-35.0,71.0
2016,"(-36, -34]","(72, 74]",0,0.0,-35.0,73.0
2016,"(-36, -34]","(74, 76]",0,0.0,-35.0,75.0
2016,"(-36, -34]","(76, 78]",0,0.0,-35.0,77.0
2016,"(-36, -34]","(78, 80]",0,0.0,-35.0,79.0
2016,"(-36, -34]","(80, 82]",0,0.0,-35.0,81.0
2016,"(-36, -34]","(82, 84]",0,0.0,-35.0,83.0
2016,"(-36, -34]","(84, 86]",0,0.0,-35.0,85.0
2016,"(-36, -34]","(86, 88]",0,0.0,-35.0,87.0
2016,"(-36, -34]","(88, 90]",0,0.0,-35.0,89.0
2016,"(-36, -34]","(90, 92]",0,0.0,-35.0,91.0
2016,"(-34, -32]","(0, 2]",11,0.0009884974838245866,-33.0,1.0
2016,"(-34, -32]","(2, 4]",19,0.0017074047447879223,-33.0,3.0
2016,"(-34, -32]","(4, 6]",12,0.0010783608914450035,-33.0,5.0
2016,"(-34, -32]","(6, 8]",27,0.002426312005751258,-33.0,7.0
2016,"(-34, -32]","(8, 10]",18,0.0016175413371675054,-33.0,9.0
2016,"(-34, -32]","(10, 12]",20,0.0017972681524083393,-33.0,11.0
2016,"(-34, -32]","(12, 14]",30,0.002695902228612509,-33.0,13.0
2016,"(-34, -32]","(14, 16]",19,0.0017074047447879223,-33.0,15.0
2016,"(-34, -32]","(16, 18]",39,0.0035046728971962616,-33.0,17.0
2016,"(-34, -32]","(18, 20]",33,0.00296549245147376,-33.0,19.0
2016,"(-34, -32]","(20, 22]",37,0.0033249460819554278,-33.0,21.0
2016,"(-34, -32]","(22, 24]",40,0.0035945363048166786,-33.0,23.0
2016,"(-34, -32]","(24, 26]",51,0.004583033788641265,-33.0,25.0
2016,"(-34, -32]","(26, 28]",51,0.004583033788641265,-33.0,27.0
2016,"(-34, -32]","(28, 30]",33,0.00296549245147376,-33.0,29.0
2016,"(-34, -32]","(30, 32]",36,0.003235082674335011,-33.0,31.0
2016,"(-34, -32]","(32, 34]",42,0.0037742631200575125,-33.0,33.0
2016,"(-34, -32]","(34, 36]",41,0.0036843997124370955,-33.0,35.0
2016,"(-34, -32]","(36, 38]",56,0.0050323508267433505,-33.0,37.0
2016,"(-34, -32]","(38, 40]",35,0.003145219266714594,-33.0,39.0
2016,"(-34, -32]","(40, 42]",42,0.0037742631200575125,-33.0,41.0
2016,"(-34, -32]","(42, 44]",41,0.0036843997124370955,-33.0,43.0
2016,"(-34, -32]","(44, 46]",45,0.004043853342918764,-33.0,45.0
2016,"(-34, -32]","(46, 48]",33,0.00296549245147376,-33.0,47.0
2016,"(-34, -32]","(48, 50]",54,0.004852624011502516,-33.0,49.0
2016,"(-34, -32]","(50, 52]",66,0.00593098490294752,-33.0,51.0
2016,"(-34, -32]","(52, 54]",81,0.0072789360172537745,-33.0,53.0
2016,"(-34, -32]","(54, 56]",93,0.008357296908698778,-33.0,55.0
2016,"(-34, -32]","(56, 58]",55,0.004942487419122933,-33.0,57.0
2016,"(-34, -32]","(58, 60]",22,0.001976994967649173,-33.0,59.0
2016,"(-34, -32]","(60, 62]",12,0.0010783608914450035,-33.0,61.0
2016,"(-34, -32]","(62, 64]",0,0.0,-33.0,63.0
2016,"(-34, -32]","(64, 66]",0,0.0,-33.0,65.0
2016,"(-34, -32]","(66, 68]",0,0.0,-33.0,67.0
2016,"(-34, -32]","(68, 70]",0,0.0,-33.0,69.0
2016,"(-34, -32]","(70, 72]",0,0.0,-33.0,71.0
2016,"(-34, -32]","(72, 74]",0,0.0,-33.0,73.0
2016,"(-34, -32]","(74, 76]",0,0.0,-33.0,75.0
2016,"(-34, -32]","(76, 78]",0,0.0,-33.0,77.0
2016,"(-34, -32]","(78, 80]",0,0.0,-33.0,79.0
2016,"(-34, -32]","(80, 82]",0,0.0,-33.0,81.0
2016,"(-34, -32]","(82, 84]",0,0.0,-33.0,83.0
2016,"(-34, -32]","(84, 86]",0,0.0,-33.0,85.0
2016,"(-34, -32]","(86, 88]",0,0.0,-33.0,87.0
2016,"(-34, -32]","(88, 90]",0,0.0,-33.0,89.0
2016,"(-34, -32]","(90, 92]",0,0.0,-33.0,91.0
2016,"(-32, -30]","(0, 2]",7,0.0006290438533429188,-31.0,1.0
2016,"(-32, -30]","(2, 4]",26,0.002336448598130841,-31.0,3.0
2016,"(-32, -30]","(4, 6]",19,0.0017074047447879223,-31.0,5.0
2016,"(-32, -30]","(6, 8]",23,0.00206685837526959,-31.0,7.0
2016,"(-32, -30]","(8, 10]",29,0.002606038820992092,-31.0,9.0
2016,"(-32, -30]","(10, 12]",28,0.0025161754133716753,-31.0,11.0
